"cell_id","comment","POS"
"real-mi.pos.1.sg.neut",,"verb"
"real-mi.pos.1.sg.mult",,"verb"
"real-mi.pos.1.sg.dist",,"verb"
"real-mi.pos.2.sg.neut",,"verb"
"real-mi.pos.2.sg.mult",,"verb"
"real-mi.pos.2.sg.dist",,"verb"
"real-mi.pos.3.sg.neut",,"verb"
"real-mi.pos.3.sg.mult",,"verb"
"real-mi.pos.3.sg.dist",,"verb"
"real-mi.pos.1.pl.neut",,"verb"
"real-mi.pos.1.pl.mult",,"verb"
"real-mi.pos.2.pl.neut",,"verb"
"real-mi.pos.2.pl.mult",,"verb"
"real-mi.pos.3.pl.neut",,"verb"
"real-mi.pos.3.pl.mult",,"verb"
"real-mi.pos.pass.1.sg.neut",,"verb"
"real-mi.pos.pass.1.sg.mult",,"verb"
"real-mi.pos.pass.1.sg.dist",,"verb"
"real-mi.pos.pass.2.sg.neut",,"verb"
"real-mi.pos.pass.2.sg.mult",,"verb"
"real-mi.pos.pass.2.sg.dist",,"verb"
"real-mi.pos.pass.3.sg.neut",,"verb"
"real-mi.pos.pass.3.sg.mult",,"verb"
"real-mi.pos.pass.3.sg.dist",,"verb"
"real-mi.pos.pass.1.pl.neut",,"verb"
"real-mi.pos.pass.1.pl.mult",,"verb"
"real-mi.pos.pass.2.pl.neut",,"verb"
"real-mi.pos.pass.2.pl.mult",,"verb"
"real-mi.pos.pass.3.pl.neut",,"verb"
"real-mi.pos.pass.3.pl.mult",,"verb"
"real-mi.neg.1.sg.neut",,"verb"
"real-mi.neg.1.sg.mult",,"verb"
"real-mi.neg.1.sg.dist",,"verb"
"real-mi.neg.2.sg.neut",,"verb"
"real-mi.neg.2.sg.mult",,"verb"
"real-mi.neg.2.sg.dist",,"verb"
"real-mi.neg.3.sg.neut",,"verb"
"real-mi.neg.3.sg.mult",,"verb"
"real-mi.neg.3.sg.dist",,"verb"
"real-mi.neg.1.pl.neut",,"verb"
"real-mi.neg.1.pl.mult",,"verb"
"real-mi.neg.2.pl.neut",,"verb"
"real-mi.neg.2.pl.mult",,"verb"
"real-mi.neg.3.pl.neut",,"verb"
"real-mi.neg.3.pl.mult",,"verb"
"real-mi.neg.pass.1.sg.neut",,"verb"
"real-mi.neg.pass.1.sg.mult",,"verb"
"real-mi.neg.pass.1.sg.dist",,"verb"
"real-mi.neg.pass.2.sg.neut",,"verb"
"real-mi.neg.pass.2.sg.mult",,"verb"
"real-mi.neg.pass.2.sg.dist",,"verb"
"real-mi.neg.pass.3.sg.neut",,"verb"
"real-mi.neg.pass.3.sg.mult",,"verb"
"real-mi.neg.pass.3.sg.dist",,"verb"
"real-mi.neg.pass.1.pl.neut",,"verb"
"real-mi.neg.pass.1.pl.mult",,"verb"
"real-mi.neg.pass.2.pl.neut",,"verb"
"real-mi.neg.pass.2.pl.mult",,"verb"
"real-mi.neg.pass.3.pl.neut",,"verb"
"real-mi.neg.pass.3.pl.mult",,"verb"
"real-t.pos.1.sg.neut",,"verb"
"real-t.pos.1.sg.mult",,"verb"
"real-t.pos.1.sg.dist",,"verb"
"real-t.pos.2.sg.neut",,"verb"
"real-t.pos.2.sg.mult",,"verb"
"real-t.pos.2.sg.dist",,"verb"
"real-t.pos.3.sg.neut",,"verb"
"real-t.pos.3.sg.mult",,"verb"
"real-t.pos.3.sg.dist",,"verb"
"real-t.pos.1.pl.neut",,"verb"
"real-t.pos.1.pl.mult",,"verb"
"real-t.pos.2.pl.neut",,"verb"
"real-t.pos.2.pl.mult",,"verb"
"real-t.pos.3.pl.neut",,"verb"
"real-t.pos.3.pl.mult",,"verb"
"real-t.pos.pass.1.sg.neut",,"verb"
"real-t.pos.pass.1.sg.mult",,"verb"
"real-t.pos.pass.1.sg.dist",,"verb"
"real-t.pos.pass.2.sg.neut",,"verb"
"real-t.pos.pass.2.sg.mult",,"verb"
"real-t.pos.pass.2.sg.dist",,"verb"
"real-t.pos.pass.3.sg.neut",,"verb"
"real-t.pos.pass.3.sg.mult",,"verb"
"real-t.pos.pass.3.sg.dist",,"verb"
"real-t.pos.pass.1.pl.neut",,"verb"
"real-t.pos.pass.1.pl.mult",,"verb"
"real-t.pos.pass.2.pl.neut",,"verb"
"real-t.pos.pass.2.pl.mult",,"verb"
"real-t.pos.pass.3.pl.neut",,"verb"
"real-t.pos.pass.3.pl.mult",,"verb"
"real-t.neg.1.sg.neut",,"verb"
"real-t.neg.1.sg.mult",,"verb"
"real-t.neg.1.sg.dist",,"verb"
"real-t.neg.2.sg.neut",,"verb"
"real-t.neg.2.sg.mult",,"verb"
"real-t.neg.2.sg.dist",,"verb"
"real-t.neg.3.sg.neut",,"verb"
"real-t.neg.3.sg.mult",,"verb"
"real-t.neg.3.sg.dist",,"verb"
"real-t.neg.1.pl.neut",,"verb"
"real-t.neg.1.pl.mult",,"verb"
"real-t.neg.2.pl.neut",,"verb"
"real-t.neg.2.pl.mult",,"verb"
"real-t.neg.3.pl.neut",,"verb"
"real-t.neg.3.pl.mult",,"verb"
"real-t.neg.pass.1.sg.neut",,"verb"
"real-t.neg.pass.1.sg.mult",,"verb"
"real-t.neg.pass.1.sg.dist",,"verb"
