form_id,lexeme,cell,phon_form,orth_form,overabundance_tag,comment
f0, ,real-t.pos.3.pl.mult,i t a p a m xw o xw,itapamjöojö,,
f1,-camahzaacat,real-t.pos.3.sg.neut,t k a m a ʔ ʃ a: k a t,tcamahzaacat,,
f2,-camahzaacat,real-t.pos.3.sg.mult,t k a m a ʔ ʃ a: k a t,tcamahzaacat,,
f3,-camahzaacat,real-t.pos.3.sg.dist,t k a m a ʔ ʃ a: k a t,tcamahzaacat,,
f4,-camahzaacat,real-t.pos.3.pl.neut,t k a m a ʔ ʃ a: k a ɬ k,tcamahzaacalc,,
f5,-camahzaacat,real-t.pos.3.pl.mult,t k a m a ʔ ʃ a: k a ɬ k,tcamahzaacalc,,
f6,-cmiiquet,real-t.pos.3.sg.neut,t k m i: k e t,tcmiiquet,,
f7,-cmiiquet,real-t.pos.3.sg.mult,t k m i: k e t,tcmiiquet,,
f8,-cmiiquet,real-t.pos.3.sg.dist,t k m i: k e t,tcmiiquet,,
f9,-cmiiquet,real-t.pos.3.pl.neut,t k o m k a: k,tcomcaac,,
f10,-cmiiquet,real-t.pos.3.pl.mult,t k o m k a: k,tcomcaac,,
f11,-comcaiit,real-t.pos.3.sg.neut,t k o m k a i: t,tcomcaiit,,
f12,-comcaiit,real-t.pos.3.sg.mult,t k o m k a i: t,tcomcaiit,,
f13,-comcaiit,real-t.pos.3.sg.dist,t k o m k a i: t,tcomcaiit,,
f14,-comcaiit,real-t.pos.3.pl.neut,t k o m k e: x,tcomqueej,,
f15,-comcaiit,real-t.pos.3.pl.mult,t k o m k e: x,tcomqueej,,
f16,-ctamot,real-t.pos.3.sg.neut,t k t a m o t,tctamot,,
f17,-ctamot,real-t.pos.3.sg.mult,t k t a m o t,tctamot,,
f18,-ctamot,real-t.pos.3.sg.dist,t k t a m o t,tctamot,,
f19,-ctamot,real-t.pos.3.pl.neut,t k t a m kw,tctamcö,,
f20,-ctamot,real-t.pos.3.pl.mult,t k t a m kw,tctamcö,,
f21,aaha,real-mi.pos.3.sg.neut,a: m a,aama,,sample partial paradigm from Moser_Marlett_2008
f22,aaha,real-mi.pos.3.pl.neut,a: m x,aamj,,sample partial paradigm from Moser_Marlett_2008
f23,aaha,real-t.pos.3.sg.neut,a: t a,aata,,sample partial paradigm from Moser_Marlett_2008
f24,aaha,real-t.pos.3.pl.neut,a: t x,aatj,,sample partial paradigm from Moser_Marlett_2008
